model,holdout_mape_pct,mape_ci95_low,mape_ci95_high,delta_vs_champion,delta_ci95_low,delta_ci95_high,tied_with_champion,holdout_median_ape_pct,median_ci95_low,median_ci95_high,median_delta_vs_best,median_delta_ci95_low,median_delta_ci95_high,tied_with_best_median
blend_lgbm_catboost,7.263,7.204,7.321,0.0,0.0,0.0,True,4.724,4.688,4.759,0.042,0.014,0.071,False
anchored_lgbm,7.314,7.255,7.374,0.051,0.034,0.068,False,4.754,4.717,4.787,0.072,0.042,0.099,False
hybrid_lgbm_text,7.315,7.256,7.375,0.052,0.04,0.065,False,4.748,4.717,4.782,0.066,0.037,0.097,False
xgboost,7.332,7.273,7.393,0.069,0.051,0.087,False,4.785,4.752,4.82,0.103,0.074,0.133,False
lightgbm,7.338,7.279,7.4,0.076,0.064,0.088,False,4.763,4.73,4.798,0.081,0.052,0.113,False
embed_mlp,7.451,7.392,7.511,0.188,0.168,0.209,False,4.856,4.82,4.89,0.174,0.142,0.205,False
catboost,7.522,7.462,7.582,0.26,0.248,0.272,False,4.973,4.935,5.011,0.291,0.259,0.323,False
ft_transformer,7.777,7.718,7.838,0.514,0.491,0.538,False,5.255,5.215,5.29,0.573,0.538,0.607,False
anchored_blend,8.236,8.145,8.331,0.974,0.905,1.045,False,4.682,4.648,4.717,0.0,0.0,0.0,True
anchored_hybrid,8.325,8.232,8.42,1.063,0.992,1.134,False,4.725,4.686,4.761,0.043,0.021,0.065,False
