model,mape_pct,p50,p75,p90,p95,p99,within_5_pct,within_10_pct,within_20_pct,over_25_pct,over_50_pct,over_100_pct,over_50_overpriced_pct,tail_share_of_error_pct
blend_lgbm_catboost,7.263,4.724,8.917,15.397,21.688,43.373,52.232,78.948,94.077,3.641,0.729,0.136,89.825,21.488
anchored_lgbm,7.314,4.754,8.975,15.505,21.977,43.336,51.925,78.604,93.981,3.761,0.747,0.138,90.068,21.885
hybrid_lgbm_text,7.315,4.748,8.989,15.528,21.844,43.622,52.017,78.753,93.981,3.727,0.728,0.139,89.578,21.831
xgboost,7.332,4.785,8.984,15.476,21.877,44.231,51.811,78.782,93.996,3.728,0.749,0.149,89.294,21.954
lightgbm,7.338,4.763,9.022,15.571,21.963,43.754,51.894,78.625,93.931,3.761,0.732,0.14,89.627,21.946
embed_mlp,7.451,4.856,9.175,15.754,22.315,44.399,51.135,77.932,93.758,3.9,0.754,0.139,87.443,22.248
catboost,7.522,4.973,9.291,15.886,22.251,44.312,50.211,77.57,93.737,3.819,0.745,0.138,90.046,21.646
ft_transformer,7.777,5.255,9.778,16.415,22.779,43.539,48.078,75.833,93.368,4.041,0.704,0.13,84.606,21.499
anchored_blend,8.236,4.682,8.951,16.115,24.377,67.842,52.519,78.516,93.045,4.794,1.556,0.522,95.507,32.874
anchored_hybrid,8.325,4.725,9.089,16.372,24.762,68.629,52.155,78.152,92.845,4.917,1.573,0.522,95.772,33.155
