model_a,model_b,delta_mape_pct,delta_ci95_low,delta_ci95_high,separated
blend_lgbm_catboost,anchored_lgbm,-0.051,-0.068,-0.0337,True
blend_lgbm_catboost,hybrid_lgbm_text,-0.0521,-0.0646,-0.0397,True
blend_lgbm_catboost,xgboost,-0.069,-0.0868,-0.0513,True
blend_lgbm_catboost,lightgbm,-0.0756,-0.0877,-0.0636,True
blend_lgbm_catboost,embed_mlp,-0.1884,-0.2094,-0.1676,True
blend_lgbm_catboost,catboost,-0.2596,-0.2719,-0.2477,True
blend_lgbm_catboost,ft_transformer,-0.5143,-0.5384,-0.4915,True
blend_lgbm_catboost,anchored_blend,-0.9735,-1.0446,-0.9046,True
blend_lgbm_catboost,anchored_hybrid,-1.0627,-1.1342,-0.9916,True
anchored_lgbm,hybrid_lgbm_text,-0.0011,-0.0185,0.0162,False
anchored_lgbm,xgboost,-0.018,-0.0389,0.0019,False
anchored_lgbm,lightgbm,-0.0246,-0.0422,-0.0075,True
anchored_lgbm,embed_mlp,-0.1373,-0.1611,-0.1133,True
anchored_lgbm,catboost,-0.2085,-0.2315,-0.1858,True
anchored_lgbm,ft_transformer,-0.4633,-0.4901,-0.4379,True
anchored_lgbm,anchored_blend,-0.9225,-0.9944,-0.8529,True
anchored_lgbm,anchored_hybrid,-1.0117,-1.0827,-0.9415,True
hybrid_lgbm_text,xgboost,-0.0169,-0.0361,0.0019,False
hybrid_lgbm_text,lightgbm,-0.0235,-0.0269,-0.0203,True
hybrid_lgbm_text,embed_mlp,-0.1363,-0.1601,-0.1127,True
hybrid_lgbm_text,catboost,-0.2074,-0.2304,-0.1852,True
hybrid_lgbm_text,ft_transformer,-0.4622,-0.4885,-0.4374,True
hybrid_lgbm_text,anchored_blend,-0.9214,-0.9922,-0.8519,True
hybrid_lgbm_text,anchored_hybrid,-1.0106,-1.0819,-0.9396,True
xgboost,lightgbm,-0.0066,-0.0255,0.0121,False
xgboost,embed_mlp,-0.1194,-0.1445,-0.0953,True
xgboost,catboost,-0.1906,-0.2131,-0.1677,True
xgboost,ft_transformer,-0.4453,-0.4722,-0.419,True
xgboost,anchored_blend,-0.9045,-0.9737,-0.8352,True
xgboost,anchored_hybrid,-0.9937,-1.0634,-0.9247,True
lightgbm,embed_mlp,-0.1127,-0.1363,-0.089,True
lightgbm,catboost,-0.1839,-0.2067,-0.1614,True
lightgbm,ft_transformer,-0.4387,-0.4648,-0.4138,True
lightgbm,anchored_blend,-0.8979,-0.9691,-0.8282,True
lightgbm,anchored_hybrid,-0.9871,-1.0583,-0.9159,True
embed_mlp,catboost,-0.0712,-0.0948,-0.0477,True
embed_mlp,ft_transformer,-0.3259,-0.3491,-0.3033,True
embed_mlp,anchored_blend,-0.7852,-0.8558,-0.7151,True
embed_mlp,anchored_hybrid,-0.8743,-0.9463,-0.8024,True
catboost,ft_transformer,-0.2548,-0.2812,-0.2293,True
catboost,anchored_blend,-0.714,-0.7852,-0.6444,True
catboost,anchored_hybrid,-0.8032,-0.8764,-0.7305,True
ft_transformer,anchored_blend,-0.4592,-0.5317,-0.3852,True
ft_transformer,anchored_hybrid,-0.5484,-0.6207,-0.4739,True
anchored_blend,anchored_hybrid,-0.0892,-0.101,-0.0777,True
